"id","c28992r100","osm_id"
"E0957N4324_919678026","E0957N4324",919678026
"E0957N4324_919678034","E0957N4324",919678034
"E0957N4324_4152147277","E0957N4324",4152147277
"E0957N4325_159479814","E0957N4325",159479814
"E0957N4325_835822339","E0957N4325",835822339
"E0957N4325_835822384","E0957N4325",835822384
"E0957N4325_835822429","E0957N4325",835822429
"E0957N4325_902460999","E0957N4325",902460999
"E0957N4325_917275107","E0957N4325",917275107
"E0957N4325_917275122","E0957N4325",917275122
"E0957N4325_917275142","E0957N4325",917275142
"E0957N4325_917275144","E0957N4325",917275144
"E0957N4325_917275154","E0957N4325",917275154
"E0957N4325_2790767041","E0957N4325",2790767041
"E0957N4325_6654012118","E0957N4325",6654012118
"E0957N4326_129581559","E0957N4326",129581559
"E0957N4326_159479814","E0957N4326",159479814
"E0957N4326_835822429","E0957N4326",835822429
"E0957N4326_902460999","E0957N4326",902460999
"E0957N4326_917275107","E0957N4326",917275107
"E0957N4326_917275122","E0957N4326",917275122
"E0957N4326_917275142","E0957N4326",917275142
"E0957N4326_917275144","E0957N4326",917275144
"E0957N4326_917275154","E0957N4326",917275154
"E0957N4326_2790767041","E0957N4326",2790767041
"E0957N4327_129581559","E0957N4327",129581559
"E0957N4327_159479814","E0957N4327",159479814
"E0957N4327_902460999","E0957N4327",902460999
"E0957N4327_917275107","E0957N4327",917275107
"E0957N4327_917275122","E0957N4327",917275122
"E0957N4327_917275142","E0957N4327",917275142
"E0957N4327_917275144","E0957N4327",917275144
"E0957N4327_917275154","E0957N4327",917275154
"E0957N4327_2790767041","E0957N4327",2790767041
"E0957N4327_6654012118","E0957N4327",6654012118
"E0957N4328_129581559","E0957N4328",129581559
"E0957N4328_159479814","E0957N4328",159479814
"E0957N4328_902460999","E0957N4328",902460999
"E0957N4328_917275107","E0957N4328",917275107
"E0957N4328_917275122","E0957N4328",917275122
"E0957N4328_917275142","E0957N4328",917275142
"E0957N4328_917275154","E0957N4328",917275154
"E0957N4328_1760310814","E0957N4328",1760310814
